image_1,image_2,angular_distance_degrees,image_1_height,image_1_width,image_2_height,image_2_width
bottle_vitamin_d_tablets/multiview-03-pixel_6pro/images/001.jpg,bottle_vitamin_d_tablets/multiview-03-pixel_6pro/images/014.jpg,87.13353370912098,3072,4080,3072,4080
welcome_sign_mushrooms/multiview-03-pixel_6pro/images/013.jpg,welcome_sign_mushrooms/multiview-03-pixel_6pro/images/016.jpg,116.03075721565862,3072,4080,3072,4080
tumbler_air_balloon/multiview-03-pixel_6pro/images/006.jpg,tumbler_air_balloon/multiview-03-pixel_6pro/images/014.jpg,82.93909323329235,3072,4080,3072,4080
chicken_racer/multiview-09-pixel_4xl/images/010.jpg,chicken_racer/multiview-09-pixel_4xl/images/019.jpg,82.27287185358495,3024,4032,3024,4032
water_gun_toy_green/multiview-02-pixel_6pro/images/000.jpg,water_gun_toy_green/multiview-02-pixel_6pro/images/007.jpg,96.61006162705665,3072,4080,3072,4080
fire_engine_toy_red_yellow_s/multiview-00-pixel_4a/images/011.jpg,fire_engine_toy_red_yellow_s/multiview-00-pixel_4a/images/018.jpg,103.97991278967439,3024,4032,3024,4032
ice_cream_cart_showpiece/multiview-03-pixel_6pro/images/012.jpg,ice_cream_cart_showpiece/multiview-03-pixel_6pro/images/018.jpg,85.09463023583102,3072,4080,3072,4080
bunny_racer/multiview-09-pixel_4xl/images/000.jpg,bunny_racer/multiview-09-pixel_4xl/images/007.jpg,117.32135513632154,3024,4032,3024,4032
circo_fish_toothbrush_holder_14995988/multiview-15-canon_t4i/images/025.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-canon_t4i/images/151.jpg,88.95659602262467,3456,5184,3456,5184
weisshai_great_white_shark/multiview-07-sony_a7iv/images/006.jpg,weisshai_great_white_shark/multiview-07-sony_a7iv/images/037.jpg,107.03734830387826,6336,9504,6336,9504
hand_drill_cordless_blue_black/multiview-04-pixel_6pro/images/012.jpg,hand_drill_cordless_blue_black/multiview-04-pixel_6pro/images/016.jpg,105.08632522658544,3072,4080,3072,4080
duck_bath_yellow_s/multiview-04-pixel_6pro/images/013.jpg,duck_bath_yellow_s/multiview-04-pixel_6pro/images/014.jpg,88.12125386047809,3072,4080,3072,4080
circo_fish_toothbrush_holder_14995988/multiview-15-canon_t4i/images/065.jpg,circo_fish_toothbrush_holder_14995988/multiview-15-canon_t4i/images/098.jpg,86.34712046572028,3456,5184,3456,5184
can_kernel_corn/multiview-02-pixel_6pro/images/008.jpg,can_kernel_corn/multiview-02-pixel_6pro/images/017.jpg,103.46116259029145,3072,4080,3072,4080
ice_cream_cart_showpiece/multiview-00-pixel_4a/images/015.jpg,ice_cream_cart_showpiece/multiview-00-pixel_4a/images/018.jpg,90.52243155250471,3024,4032,3024,4032
steps_small_showpiece/multiview-03-pixel_6pro/images/000.jpg,steps_small_showpiece/multiview-03-pixel_6pro/images/002.jpg,90.33172604807227,3072,4080,3072,4080
3d_dollhouse_sink/multiview-07-pixel_7/images/029.jpg,3d_dollhouse_sink/multiview-07-pixel_7/images/037.jpg,92.89185443384167,3072,4080,3072,4080
water_gun_toy_yellow/multiview-03-pixel_6pro/images/002.jpg,water_gun_toy_yellow/multiview-03-pixel_6pro/images/013.jpg,81.07410899996566,3072,4080,3072,4080
tractor_green_showpiece/multiview-02-pixel_6pro/images/000.jpg,tractor_green_showpiece/multiview-02-pixel_6pro/images/014.jpg,117.31104451797489,3072,4080,3072,4080
keywest_showpiece_s/multiview-01-pixel_6pro/images/006.jpg,keywest_showpiece_s/multiview-01-pixel_6pro/images/021.jpg,115.87954732867759,3072,4080,3072,4080
steps_small_showpiece/multiview-04-pixel_6pro/images/006.jpg,steps_small_showpiece/multiview-04-pixel_6pro/images/008.jpg,92.2855728216613,3072,4080,3072,4080
school_bus/multiview-12-pixel_5/images/019.jpg,school_bus/multiview-12-pixel_5/images/022.jpg,104.59640805801119,3024,4032,3024,4032
well_with_leaf_roof_showpiece/multiview-00-pixel_4a/images/015.jpg,well_with_leaf_roof_showpiece/multiview-00-pixel_4a/images/017.jpg,83.87415199563885,3024,4032,3024,4032
