image_1,image_2,angular_distance_degrees,image_1_height,image_1_width,image_2_height,image_2_width
bunny_racer/wild_set/images/075.jpg,bunny_racer/wild_set/images/029.jpg,111.54050176768122,3024,4032,3024,4032
fire_engine_toy_red_yellow_s/wild_set/images/057.jpg,fire_engine_toy_red_yellow_s/wild_set/images/003.jpg,90.69569268691255,3024,4032,3024,4032
dino_5/wild_set/images/013.jpg,dino_5/wild_set/images/047.jpg,94.85468651492644,3024,4032,4032,3024
remote_control_toy_car_s/wild_set/images/058.jpg,remote_control_toy_car_s/wild_set/images/037.jpg,94.04286753066563,3024,4032,3024,4032
water_gun_toy_white/wild_set/images/025.jpg,water_gun_toy_white/wild_set/images/003.jpg,111.58847933782181,4000,6000,3024,4032
shoe_right_gray_s/wild_set/images/074.jpg,shoe_right_gray_s/wild_set/images/021.jpg,90.2259151462304,3024,4032,3024,4032
3d_dollhouse_sink/wild_set/images/014.jpg,3d_dollhouse_sink/wild_set/images/047.jpg,114.60087348638388,3072,4080,3024,4032
schleich_hereford_bull/wild_set/images/031.jpg,schleich_hereford_bull/wild_set/images/021.jpg,80.83426026039118,3024,4032,3024,4032
ice_cream_cart_showpiece/wild_set/images/009.jpg,ice_cream_cart_showpiece/wild_set/images/013.jpg,99.44392193326067,4000,6000,3024,4032
school_bus/wild_set/images/034.jpg,school_bus/wild_set/images/003.jpg,85.07535875639367,3024,4032,3024,4032
schleich_lion_action_figure/wild_set/images/008.jpg,schleich_lion_action_figure/wild_set/images/056.jpg,82.19824950590113,3024,4032,3024,4032
ice_cream_cart_showpiece/wild_set/images/048.jpg,ice_cream_cart_showpiece/wild_set/images/004.jpg,84.3089716422676,3024,4032,4000,6000
dino_4/wild_set/images/045.jpg,dino_4/wild_set/images/046.jpg,87.19309183918881,3024,4032,3024,4032
steps_small_showpiece/wild_set/images/004.jpg,steps_small_showpiece/wild_set/images/002.jpg,84.01655539063056,4000,6000,3024,4032
schleich_bald_eagle/wild_set/images/023.jpg,schleich_bald_eagle/wild_set/images/058.jpg,100.18788150562844,3024,4032,3024,4032
remote_control_toy_car_s/wild_set/images/036.jpg,remote_control_toy_car_s/wild_set/images/010.jpg,87.05410002755136,3024,4032,3024,4032
weisshai_great_white_shark/wild_set/images/018.jpg,weisshai_great_white_shark/wild_set/images/031.jpg,109.3259968257419,3456,5184,3024,4032
dino_5/wild_set/images/023.jpg,dino_5/wild_set/images/012.jpg,89.46573489037436,3024,4032,3456,5184
schleich_african_black_rhino/wild_set/images/038.jpg,schleich_african_black_rhino/wild_set/images/043.jpg,100.20739246406733,3024,4032,3024,4032
